,X,journaltitle,pub.year,Gender,Institutional_Affiliation,PhD,author,title,X.1
3443,1640,PMLA,1975,M,UCLA,UC Berkeley,Paul A. Jorgensen,"A Formative Shakespearean Legacy: Elizabethan Views of God, Fortune, and War",
3447,1639,PMLA,1978,M,UCLA,UC Berkeley,Albert D. Hutter,Nation and Generation in A Tale of Two Cities,
3457,1638,PMLA,1988,M,UCLA,UC Berkeley,King-Kok Cheung,Don't Tell: Imposed Silences in The Color Purple and The Woman Warrior,
3480,1637,PMLA,2003,M,UCLA,UC Berkeley,Todd Samuel Presner,"Jews on Ships; Or, How Heine's ""Reisebilder"" Deconstruct Hegel's Philosophy of World History",
3518,1636,PMLA,2013,F,UCLA,UC Berkeley,Johanna Drucker,Reading Interface,
3553,8662,New Literary History,2000,F,University of Alabama,UC Berkeley,Sharon O'Dair,"Beyond Necessity: The Consumption of Class, the Production of Status, and the Persistence of Inequality",
3582,8742,New Literary History,1994,F,University of Arizona,UC Berkeley,Annette Kolodny,Inventing a Feminist Discourse: Rhetoric and Resistance in Margaret Fuller's Woman in the Nineteenth Century,
3584,8752,New Literary History,1996,F,University of Arizona,UC Berkeley,Annette Kolodny,60 Minutes at the University of Arizona: The Polemic against Tenure,
3590,4723,Representations,1988,M,University of Arkansas,UC Berkeley,Stuart Culver,What Manikins Want: The Wonderful Wizard of Oz and The Art of Decorating Dry Goods Windows,
1800,1578,PMLA,2009,M,University of Calcutta,UC Berkeley,Ayon Roy,"Hegel contra Schlegel, Kierkegaard contra de Man",
3664,6910,Critical Inquiry,1976,M,University of Chicago,UC Berkeley,Paolo A. Cherchi,Tradition and Topoi in Medieval Literature,
3665,7010,Critical Inquiry,1976,M,University of Chicago,UC Berkeley,Peter F. Dembowski,Vocabulary of Old French Courtly Lyrics: Difficulties and Hidden Difficulties,
3678,14810,Critical Inquiry,1978,F,University of Chicago,UC Berkeley,Françoise Meltzer,Color as Cognition in Symbolist Verse,
3699,31010,Critical Inquiry,1982,F,University of Chicago,UC Berkeley,Françoise Meltzer,Laclos' Purloined Letters,
3714,4481,Critical Inquiry,1986,M,University of Chicago,UC Berkeley,William Veeder,"The Negative Oedipus: Father, Frankenstein and the Shelleys",
3721,4931,Critical Inquiry,1987,F,University of Chicago,UC Berkeley,Anne Burnett,"The Scrutiny of Song: Pindar, Politics, and Poetry",
3786,9611,Critical Inquiry,2001,F,University of Chicago,UC Berkeley,Françoise Meltzer,The Hands of Simone Weil,
3807,1076,Critical Inquiry,2004,F,University of Chicago,UC Berkeley,Françoise Meltzer,Future? What Future?,
3808,1077,Critical Inquiry,2004,M,University of Chicago,UC Berkeley,Richard Neer,Reaction and Response,
3819,11291,Critical Inquiry,2005,M,University of Chicago,UC Berkeley,Richard Neer,Connoisseurship and the Stakes of Style,
3829,12001,Critical Inquiry,2007,M,University of Chicago,UC Berkeley,Richard Neer,Godard Counts,
3842,13061,Critical Inquiry,2009,F,University of Chicago,UC Berkeley,Françoise Meltzer,Holy by Special Application – Introduction,
3843,13071,Critical Inquiry,2009,F,University of Chicago,UC Berkeley,Françoise Meltzer,Reviving the Fairy Tree,
3851,13421,Critical Inquiry,2010,M,University of Chicago,UC Berkeley,William Mazzarella,The Myth of the Multitude,
3858,13821,Critical Inquiry,2011,F,University of Chicago,UC Berkeley,Françoise Meltzer,Theories of Desire,
3859,13831,Critical Inquiry,2011,F,University of Chicago,UC Berkeley,Jennifer Scappettone,Tuning as Lyricism,
3872,14621,Critical Inquiry,2013,F,University of Chicago,UC Berkeley,Lisa Wedeen,Ideology and Humor in Dark Times,
3873,14631,Critical Inquiry,2013,F,University of Chicago,UC Berkeley,Tamara Chin,The Invention of the Silk Road,
3882,15441,Critical Inquiry,2015,M,University of Chicago,UC Berkeley,Benjamin Morgan,Wicked Intelligence: Visual Art and the Science of Experiment in Restoration Londonﾠby Matthew C. Hunterﾠ,
3709,9272,New Literary History,1984,F,University of Chicago,UC Berkeley,Françoise Meltzer,A Response to René Girard's Reading of Salome,
3833,1642,PMLA,2007,F,University of Chicago,UC Berkeley,Jennifer Scappettone,"Utopia Interrupted: Archipelago as Sociolyric Structure in ""A Draft of XXX Cantos""",
3764,4743,Representations,1997,M,University of Chicago,UC Berkeley,William H. Sewell Jr.,"Geertz, Cultural Systems, and History: From Synchrony to Transformation",
3824,4733,Representations,2006,F,University of Chicago,UC Berkeley,Tamara Chin,Orienting Mimesis,
3901,26910,Critical Inquiry,1981,M,University of Colorado,UC Berkeley,Jonathan D. Kramer,New Temporalities in Music,
3903,3821,Critical Inquiry,1984,M,University of Colorado,UC Berkeley,Jonathan D. Kramer,Can Modernism Survive George Rochberg?,
3892,1643,PMLA,1971,M,University of Colorado,UC Berkeley,James L. Colwell,Huckleberries and Humans: On the Naming of Huckleberry Finn,
3915,4753,Representations,2000,F,University of Colorado,UC Berkeley,Katherine Eggert,Spenser's Ravishment: Rape and Rapture in The Faerie Queene,
3980,9613,New Literary History,2000,F,University of Exeter,UC Berkeley,Regenia Gagnier,The Law of Progress and the Ironies of Individualism in the Nineteenth Century,
3981,4763,Representations,2006,M,University of Exeter,UC Berkeley,Philip Schwyzer,Exhumation and Ethnic Conflict,
3990,1644,PMLA,1986,M,University of Florida,UC Berkeley,David Leverenz,The Politics of Emerson's Man-Making Words,
4069,1646,PMLA,2009,F,University of Houston,UC Berkeley,Louis Parkinson Zamora,"New World Baroque, Neobaroque, Brut Barroco: Latin American Postcolonialisms",
4071,1645,PMLA,2013,F,University of Houston,UC Berkeley,Lois Parkinson Zamora,Eccentric Periodization: Comparative Perspectives on the Enlightenment and the Baroque,
4153,4773,Representations,1995,F,University of Iowa,UC Berkeley,Sarah Farmer,Symbols that Face Two Ways: Commemorating the Victims of Nazism and Stalinism at Buchenwald and Sachsenhausen,
4191,10152,New Literary History,2002,M,University of Kentucky,UC Berkeley,Jeremy D. Popkin,Ka-Tzetnik 135633: The Survivor as Pseudonym,
4267,4793,Representations,1997,M,University of Manchester,UC Berkeley,Marcus Verhagen,Whipstrokes,
4272,4783,Representations,2013,M,University of Manchester,UC Berkeley,Ian Burney,Our Environment in Miniature,
4294,1649,PMLA,2006,M,University of Maryland,UC Berkeley,William A. Cohen,"Faciality and Sensation in Hardy's ""The Return of the Native""",
4311,4803,Representations,1989,F,"University of Massachusetts, Amherst",UC Berkeley,Carlin A. Barton,The Scandal of the Arena,
4314,4815,Representations,1994,F,"University of Massachusetts, Amherst",UC Berkeley,Carlin A. Barton,Savage Miracles: The Redemption of Lost Honor in Roman Society and the Sacrament of the Gladiator and the Martyr,
4332,3491,Critical Inquiry,1983,F,University of Miami,UC Berkeley,Adena Rosmarin,"On the Theory of ""Against Theory""""""",
4334,1650,PMLA,1985,F,University of Miami,UC Berkeley,Adena Rosmarin,Hermeneutics versus Erotics: Shakespeare's Sonnets and Interpretive History,
1764,12401,Critical Inquiry,2008,M,University of Michigan,UC Berkeley,Daniel Hack,Close Reading at a Distance,
4362,10741,New Literary History,1990,M,University of Michigan,UC Berkeley,David A. Hollinger,Reflections on the Jamesian Arch: A Response to Ian Hacking,
4363,10751,New Literary History,1990,M,University of Michigan,UC Berkeley,David A. Hollinger,Free Enterprise and Free Inquiry: The Emergence of Laissez-Faire Communitarianism in the Ideology of Science in the United States,
4377,1651,PMLA,1997,F,University of Michigan,UC Berkeley,Alina Clej,Women's Speech and Silence in Hartmann von Aue's Erec,
4386,4833,Representations,1999,F,University of Michigan,UC Berkeley,Sumathi Ramaswamy,Catastrophic Cartographies: Mapping the Lost Continent of Lemuria,
4400,4823,Representations,2006,F,University of Michigan,UC Berkeley,Heather Wiebe,"Benjamin Britten, the “National Faith,” and the Animation of History in 1950s England",
4432,1657,PMLA,1974,M,University of Minnesota,UC Berkeley,George T. Wright,The Lyric Present: Simple Present Verbs in English Poems,
4441,1656,PMLA,1981,M,University of Minnesota,UC Berkeley,George T. Wright,Hendiadys and Hamlet,
4452,1655,PMLA,1996,M,University of Minnesota,UC Berkeley,George T. Wright,The Inevitability of the Personal,
4463,1659,PMLA,2011,F,"University of Minnesota, Twin Cities",UC Berkeley,Shaden M. Tageldin,"Secularizing Islam: Carlyle, al-Sibā‘ī, and the Translations of “Religion” in British Egypt",
4465,1658,PMLA,2013,F,"University of Minnesota, Twin Cities",UC Berkeley,Monika Zagar,Oyono in Slovene: Toundi’s Visit to Yugoslavia,
4472,14311,Critical Inquiry,2012,M,University of Missouri,UC Berkeley,Joseph Carroll,An Open Letter to Jonathan Kramnick,
4470,10872,New Literary History,2010,M,University of Missouri,UC Berkeley,Joseph Carroll,Three Scenarios for Literary Darwinism,
4526,4410,Critical Inquiry,1975,F,University of New Mexico,UC Berkeley,Annette Kolodny,"Some Notes on Defining a ""Feminist Literary Criticism""""""",
4527,7510,Critical Inquiry,1976,F,University of New Mexico,UC Berkeley,Annette Kolodny,The Feminist as Literary Critic,
4525,11071,New Literary History,1973,M,University of New Mexico,UC Berkeley,George A. Huaco,Ideology and Literature,
4536,27310,Critical Inquiry,1981,F,University of New South Wales,UC Berkeley,Annette Kolodny,"Turning the Lens on ""The Panther Captivity"""": A Feminist Exercise in Practical Criticism""",
4543,1660,PMLA,1972,F,"University of North Carolina, Asheville",UC Berkeley,Mechthild Cranston,René Char 1923-28: The Young Poet's Struggle for Communication,
4552,4843,Representations,1988,F,"University of North Carolina, Chapel Hill",UC Berkeley,Tomoko Masuzawa,The Sacred Difference in the Elementary Forms: On Durkheim's Last Quest,
4589,4662,New Literary History,2014,F,University of Notre Dame,UC Berkeley,Sandra M. Gustafson,Equality as Singularity: Rethinking Literature and Democracy,
4587,1661,PMLA,2013,F,University of Notre Dame,UC Berkeley,Sandra M. Gustafson,What’s in a Date? Temporalities of Early American Literature,
4603,1664,PMLA,1985,M,University of Oregon,UC Berkeley,Richard L. Stein,"Milk, Mud, and Mountain Cottages: Ruskin's Poetry of Architecture",
4608,1663,PMLA,1992,F,University of Oregon,UC Berkeley,Michaela Paasche Grudin,Discourse and the Problem of Closure in the Canterbury Tales,
4611,1662,PMLA,1997,F,University of Oregon,UC Berkeley,Leslie Bary,Women's Speech and Silence in Hartmann von Aue's Erec,
4604,4863,Representations,1985,M,University of Oregon,UC Berkeley,Richard L. Stein,Remember the Téméraire: Turner's Memorial of 1839,
4621,4853,Representations,2014,M,University of Oregon,UC Berkeley,Daniel Rosenberg,"Stop, Words",
4692,3191,Critical Inquiry,1982,M,University of Pennsylvania,UC Berkeley,Gary Tomlinson,"Music and the Claims of Text: Monteverdi, Rinuccini, and Marino",
4699,4171,Critical Inquiry,1985,F,University of Pennsylvania,UC Berkeley,Betsy Erkkila,Greta Garbo: Sailing beyond the Frame,
4738,11632,New Literary History,2010,M,University of Pennsylvania,UC Berkeley,Bob Perelman,My Avant-Garde Card,
4733,1666,PMLA,2008,M,University of Pennsylvania,UC Berkeley,David L. Eng,The End(s) of Race,
4796,1668,PMLA,1993,F,University of Rochester,UC Berkeley,Bette London,"Mary Shelley, Frankenstein, and the Spectacle of Masculinity",
4811,1669,PMLA,2011,M,University of San Francisco,UC Berkeley,Joshua Gamson,The Unwatched Life Is Not Worth Living: The Elevation of the Ordinary in Celebrity Culture,
4853,1671,PMLA,2008,M,University of Southern California,UC Berkeley,Viet Thanh Nguyen,At Home with Race,
4875,8291,Critical Inquiry,1997,F,University of Sussex,UC Berkeley,Françoise Vergès,"Creole Skin, Black Mask: Fanon and Disavowal",
1867,1580,PMLA,2015,F,University of Sussex,UC Berkeley,Natalia Cecire,Everybody’s Authority,
4932,12222,New Literary History,2007,M,"University of Texas, Austin",UC Berkeley,John Hoberman,Medical Racism and the Rhetoric of Exculpation: How Do Physicians Think about Race?,
4922,1673,PMLA,1992,F,"University of Texas, Austin",UC Berkeley,Lynn R. Wilkinson,Le Cousin Pons and the Invention of Ideology,
5108,13103,New Literary History,1994,F,University of Virginia,UC Berkeley,Patricia Meyer Spacks,Oscillations of Sensibility,
5116,1674,PMLA,1995,F,University of Virginia,UC Berkeley,Patricia Meyer Spacks,Presidential Address 1994: Reality-Our Subject and Discipline,
5174,4873,Representations,2011,M,University of Virginia,UC Berkeley,Chad Wellmon,Touching Books,
5302,13722,New Literary History,2009,F,"University of Wisconsin, Madison",UC Berkeley,Mary N. Layoun,Endings and Beginnings: Reimagining the Tasks and Spaces of Comparison,
5336,15501,Critical Inquiry,2015,M,"University of Wisconsin, Milwaukee",UC Berkeley,Richard Grusin,Radical Mediation,
5335,4883,Representations,2014,F,"University of Wisconsin, Milwaukee",UC Berkeley,Annie McClanahan,Bad Credit,
5368,1679,PMLA,2013,M,Vanderbilt,UC Berkeley,Ben Tran,Ferdinand Oyono in Vietnamese: Translation after Socialism and Colonialism,
1667,9841,Critical Inquiry,2002,M,Wayne State University,UC Berkeley,Barrett Watten,The Turn to Language and the 1960s,
5411,4893,Representations,1993,F,Wayne State University,UC Berkeley,P. Gabrielle Foreman,"This Promiscuous Housekeeping: Death, Transgression, and Homoeroticism in Uncle Tom's Cabin",
5427,14132,New Literary History,1996,M,Wellesley College,UC Berkeley,James Noggle,The Wittgensteinian Sublime,
5419,1684,PMLA,1970,F,Wellesley College,UC Berkeley,Patricia Meyer Spacks,"Imagery and Method in ""An Essay on Criticism""",
5420,1683,PMLA,1976,F,Wellesley College,UC Berkeley,Patricia Meyer Spacks,"The Soul's Imaginings: Daniel Defoe, William Cowper",
5428,1682,PMLA,2013,F,Wellesley College,UC Berkeley,Elizabeth Young,Homer in a Nutshell: Vergilian Miniaturization and the Sublime,
1785,4133,Representations,2008,F,Wellesley College,UC Berkeley,Elizabeth Marie Young,Inscribing Orpheus,
5449,4903,Representations,1997,F,Wesleyan University,UC Berkeley,Katherine Zieman,Chaucer's Voys,
5477,12091,Critical Inquiry,2007,M,Williams College,UC Berkeley,John Limon,“The Shame of Abu Ghraib”,
5567,4611,Critical Inquiry,1986,M,Yale,UC Berkeley,John Limon,"The Integration of Faulkner's ""Go Down Moses""""",
5634,14751,Critical Inquiry,2013,M,Yale,UC Berkeley,Gary Tomlinson,Evolutionary Studies in the Humanities,
5623,1686,PMLA,2010,F,Yale,UC Berkeley,Birgit Brander Rasmussen,“Attended with Great Inconveniences”: Salve Literacy and the 1740 South Caroline Negro Act,
5595,4915,Representations,1997,F,Yale,UC Berkeley,Ramie Targoff,The Performance of Prayer: Sincerity and Theatricality in Early Modern England,
226,1688,PMLA,2012,M,California State University,UC Davis,Marit J. MacArthur,One World? The Poetics of Passenger Flight and the Perception of the Global,
720,1689,PMLA,2007,F,DePauw University,UC Davis,Angela Flury,"Excerpts from ""Ein Tag im Jahr: 1960-2000""",
1871,1692,PMLA,2015,M,Florida State University,UC Davis,John Mac Kilgore,Nat Turner and the Work of Enthusiasm,
935,1690,PMLA,2005,F,George Mason University,UC Davis,Gang Zhou,The Chinese Renaissance: A Transcultural Reading,
1302,1691,PMLA,1999,M,Indiana University of Pennsylvania,UC Davis,Patrick D. Murphy,Forum on Literatures of the Environment,
2229,1693,PMLA,2009,M,Pennsylvania State University,UC Davis,Robert E. Lougy,Dickens and the Wolf Man: Childhood Memory and Fantasy in David Copperfield,
2344,1694,PMLA,1999,F,Princeton,UC Davis,Elaine Showalter,Presidential Address 1998: Regeneration,
2300,4923,Representations,1985,F,Princeton,UC Davis,Elaine Showalter,The Death of the Lady (Novelist): Wharton's House of Mirth,
2454,25810,Critical Inquiry,1981,F,Rutgers,UC Davis,Elaine Showalter,Feminist Criticism in the Wilderness,
2513,1695,PMLA,2014,F,Rutgers,UC Davis,Elin Diamond,Churchill’s Tragic Materialism,
3189,1697,PMLA,1997,M,UC Davis,UC Davis,Joseph O. Aimone,"Today, Tomorrow: The Intellectual in the Academy and in Society",
3190,1698,PMLA,1997,M,UC Davis,UC Davis,Joseph Oran Aimone,Teaching Literature in the Academy Today: A Roundtable,
3197,1696,PMLA,2003,M,UC Davis,UC Davis,Michael Borgstrom,"Passing over: Setting the Record Straight in ""Uncle Tom's Cabin""",
3310,1699,PMLA,2010,F,UC Riverside,UC Davis,Adriana Craciun,The Frozen Ocean,
4287,1700,PMLA,1989,F,University of Maryland,UC Davis,Susan J. Leonardi,Recipes for Reading,
4288,1701,PMLA,1989,F,University of Maryland,UC Davis,Susan J. Leonardi,"Recipes for Reading: Summer Pasta, Lobster à la Riseholme, and Key Lime Pie",
4378,1702,PMLA,1997,M,University of Michigan,UC Davis,David Wayne Thomas,Interconnections,
4551,4541,Critical Inquiry,1986,M,"University of North Carolina, Chapel Hill",UC Davis,Lee Bartlett,"What Is ""Language Poetry""""?""",
4591,11252,New Literary History,2003,F,University of Nottingham,UC Davis,Adriana Craciun,Romantic Satanism and the Rise of Nineteenth-Century Women's Poetry,
4592,1703,PMLA,2004,F,University of Nottingham,UC Davis,Mary Robinson,"Present State of the Manners, Society, Etc. Etc. of the Metropolis of England",
435,1705,PMLA,2005,F,Columbia,UC Irvine,Patricia Dailey,Forum: The Legacy of Jacques Derrida,
688,19311,New Literary History,1977,M,Dartmouth,UC Irvine,Louis A. Renza,The Veto of the Imagination: A Theory of Autobiography,
1468,3852,New Literary History,1999,M,Lewis and Clark College,UC Irvine,Kurt Fosso,"The Politics of Genre in Wordsworth's ""Salisbury Plain""",
1907,4933,Representations,2015,M,Max Planck Institute for the History of Science,UC Irvine,Robert J. Kett,Monumentality as Method,
1922,1707,PMLA,2009,M,National Tsing Hua University,UC Irvine,Aaron McLean Winter,The Laughing Doves of 1812 and the Satiric Endowment of Antiwar Rhetoric in the United States,
2353,1056,Critical Inquiry,2004,M,Princeton,UC Irvine,Mark Hansen,The Time of Affect,
2358,1709,PMLA,2005,M,Princeton,UC Irvine,Eduardo Cadava,Forum: The Legacy of Jacques Derrida,
2360,1708,PMLA,2006,M,Princeton,UC Irvine,Eduardo Cadava,The Monstrosity of Human Rights,
2598,1710,PMLA,1993,M,Southern Methodist University,UC Irvine,Dennis A. Foster,J. G. Ballard's Empire of the Senses: Perversion and the Failure of Authority,
2602,1711,PMLA,1999,M,Southern Utah University,UC Irvine,Michael P. Cohen,Forum on Literatures of the Environment,
3036,7821,Critical Inquiry,1996,F,UC Berkeley,UC Irvine,Molly Anne Rothenberg,Fashionable Theory and Fashion-Able Women: Returning Fuss's Homospectatorial Look,
3090,11171,Critical Inquiry,2005,F,UC Berkeley,UC Irvine,Jennifer Bajorek,The Offices of Homeland Security,
1740,1706,PMLA,2007,M,UC Irvine,UC Irvine,Stephen Schryer,Fantasies of the New Class,
3223,4943,Representations,1983,M,UC Irvine,UC Irvine,James Holstun,John Eliot's Empirical Millenarianism,
3513,1712,PMLA,2011,F,UCLA,UC Irvine,Nguyễn-võ Thu-hương,Epitaphic Nation: The Problem of the South and Necropolitics in Early Modern Vietnamese National Literature,
3550,1713,PMLA,1986,M,University of Alabama,UC Irvine,David Lee Miller,Spenser's Poetics: The Poem's Two Bodies,
3629,9032,New Literary History,2004,M,University of British Columbia,UC Irvine,Richard van Oort,The Critic as Ethnographer,
3630,9021,New Literary History,2006,M,University of British Columbia,UC Irvine,Richard van Oort,Shakespeare and the Idea of the Modern,
4190,4953,Representations,2000,M,University of Kentucky,UC Irvine,David Lee Miller,The Father's Witness: Patriarchal Images of Boys,
4740,1714,PMLA,2012,F,University of Pennsylvania,UC Irvine,Melissa E. Sanchez,"“Use Me But as Your Spaniel”: Feminism, Queer Theory, and Early Modern Sexualities",
5033,12642,New Literary History,2004,M,University of Utah,UC Irvine,Matthew Potolsky,Introduction,
5039,1715,PMLA,1989,M,University of Vermont,UC Irvine,James Holstun,Fish on Blind Submission,
5182,1716,PMLA,2013,F,University of Virginia,UC Irvine,Mrinalini Chakravorty,The Dead That Haunt Anil’s Ghost: Subaltern Difference and Postcolonial Melancholia,
5413,1717,PMLA,1996,M,Wayne State University,UC Irvine,Herman Rapaport,The Role of Theory,
5459,14262,New Literary History,2002,M,Westminster College,UC Irvine,Peter Goldman,"Living Words: Iconoclasm and beyond in John Bunyan's ""Grace Abounding""",
5626,13901,Critical Inquiry,2011,M,Yale,UC Irvine,R. John Williams,Techne-Zen and the Spiritual Quality of Global Capitalism,
2225,5602,New Literary History,2007,M,Pennsylvania State University,UC Riverside,Robert R. Edwards,Walter Map: Authorship and the Space of Writing,
2754,6913,New Literary History,1982,M,SUNY Buffalo,UC Riverside,Robert Edwards,The Book of the Duchess and the Beginnings of Chaucer's Narrative,
268,9812,New Literary History,1985,M,Catholic University of America,UC San Diego,Virgil Nemoianu,Under the Sign of Leibniz: The Growth of Aesthetic Power,
293,11212,New Literary History,1983,M,Claremont Graduate University,UC San Diego,Frank Whigham,Interpretation at Court: Courtesy and the Performer-Audience Dialectic,
292,1719,PMLA,1981,M,Claremont Graduate University,UC San Diego,Frank Whigham,The Rhetoric of Elizabethan Suitors' Letters,
294,1718,PMLA,1985,M,Claremont Graduate University,UC San Diego,Frank Whigham,Sexual and Social Mobility in The Duchess of Malfi,
754,6791,Critical Inquiry,1993,F,Duke,UC San Diego,Susan Willis,Hardcore: Subculture American Style,
802,1721,PMLA,2011,M,Duke,UC San Diego,Leo Ching,Champion of Justice: How Asian Heroes Saved Japanese Imperialism,
2140,1723,PMLA,2008,F,Ohio State University,UC San Diego,Ruby C. Tapia,Profane Illuminations: The Gendered Problematics of Critical Carceral Visualities,
2542,1724,PMLA,1973,F,San Jose State University,UC San Diego,Arlene N. Okerlund,Spenser's Wanton Maidens: Reader Psychology and the Bower of Bliss,
2919,1725,PMLA,1978,M,UC Berkeley,UC San Diego,Virgil Nemoianu,"The Dialectics of Movement in Keats's ""To Autumn""",
3322,1727,PMLA,1983,F,UC San Diego,UC San Diego,Katharine Slater Gittes,The Canterbury Tales and the Arabic Frame Tradition,
3341,1726,PMLA,2005,F,UC San Diego,UC San Diego,Carol A. Padden,Talking Culture: Deaf People and Disability Studies,
3324,4963,Representations,1983,M,UC San Diego,UC San Diego,Louis Adrian Montrose,Shaping Fantasies: Figurations of Gender and Power in Elizabethan Culture,
3328,4973,Representations,1991,M,UC San Diego,UC San Diego,Louis Montrose,The Work of Gender in the Discourse of Discovery,
1872,1722,PMLA,2015,F,University of Colorado,UC San Diego,Elisabeth Arnould-Bloomfield,Posthuman Compassions,
4146,1728,PMLA,1979,M,University of Iowa,UC San Diego,Thomas E. Lewis,Notes toward a Theory of the Referent,
4280,10561,New Literary History,1980,M,University of Maryland,UC San Diego,Richard Harvey Brown,The Position of the Narrative in Contemporary Society,
4283,10551,New Literary History,1986,M,University of Maryland,UC San Diego,Richard Harvey Brown,Toward a Sociology of Aesthetic Forms: A Commentary,
4290,10571,New Literary History,1998,M,University of Maryland,UC San Diego,Richard Harvey Brown,Modern Science and Its Critics: Toward a Post-Positivist Legitimization of Science,
4304,19810,Critical Inquiry,1979,F,"University of Massachusetts, Amherst",UC San Diego,Lee R. Edwards,The Labors of Psyche: Toward a Theory of Female Heroism,
4312,1729,PMLA,1991,F,"University of Massachusetts, Amherst",UC San Diego,Ellen McCracken,Metaplagiarism and the Critic's Role as Detective: Ricardo Piglia's Reinvention of Roberto Arlt,
4558,1730,PMLA,2009,M,"University of North Carolina, Chapel Hill",UC San Diego,Neel Ahuja,Postcolonial Critique in a Multispecies World,
5240,1731,PMLA,2012,F,University of Washington,UC San Diego,Kathleen Woodward,"Work-Work Balance, Metrics, and Resetting the Balance",
337,1732,PMLA,2007,M,College of William and Mary,UC Santa Barbara,John Blair Gamber,"Outcasts and Dreamers in the Cities: Urbanity and Pollution in ""Dead Voices""",
904,1733,PMLA,1990,F,Florida State University,UC Santa Barbara,Karen Cunningham,Women's Speech and Silence in Hartmann von Aue's Erec,
966,25311,New Literary History,2010,F,Georgia Institute of Technology,UC Santa Barbara,Elizabeth Freudenthal,"Anti-Interiority: Compulsiveness, Objectification, and Identity in Infinite Jest",
1380,6541,Critical Inquiry,1992,M,Johns Hopkins,UC Santa Barbara,Walter Benn Michaels,Race into Culture: A Critical Genealogy of Cultural Identity,
1387,7181,Critical Inquiry,1994,M,Johns Hopkins,UC Santa Barbara,Walter Benn Michaels,The No-Drop Rule,
1400,9421,Critical Inquiry,2001,M,Johns Hopkins,UC Santa Barbara,Walter Benn Michaels,The Shape of the Signifier,
1373,3632,New Literary History,1990,M,Johns Hopkins,UC Santa Barbara,Walter Benn Michaels,The Contracted Heart,
1388,3642,New Literary History,1994,M,Johns Hopkins,UC Santa Barbara,Steven Knapp,Reply to John Searle,
1398,3652,New Literary History,2000,M,Johns Hopkins,UC Santa Barbara,Walter Benn Michaels,Political Science Fictions,
1369,4983,Representations,1989,M,Johns Hopkins,UC Santa Barbara,Walter Benn Michaels,"An American Tragedy, or the Promise of American Life",
2386,1736,PMLA,1976,M,Purdue University,UC Santa Barbara,David B. Richards,Mesmerism in Die Jungfrau von Orleans,
2925,21810,Critical Inquiry,1980,M,UC Berkeley,UC Santa Barbara,Walter Benn Michaels,Sister Carrie's Popular Economy,
2929,26110,Critical Inquiry,1981,M,UC Berkeley,UC Santa Barbara,Walter Benn Michaels,Fictitious Dealing: A Reply to Leo Bersani,
2933,30310,Critical Inquiry,1982,M,UC Berkeley,UC Santa Barbara,Walter Benn Michaels,Is There a Politics of Interpretation?,
2962,4993,Representations,1985,M,UC Berkeley,UC Santa Barbara,Walter Benn Michaels,The Gold Standard and the Logic of Naturalism,
3262,7962,New Literary History,2000,M,UC Irvine,UC Santa Barbara,Brook Thomas,"Restaging the Reception of Iser's Early Work, or Sides Not Taken in Discussions of the Aesthetic",
3293,1737,PMLA,2005,M,UC Merced,UC Santa Barbara,Manuel M. Martín-Rodríguez,Women's Speech and Silence in Hartmann von Aue's Erec,
3327,6261,Critical Inquiry,1991,M,UC San Diego,UC Santa Barbara,Brook Thomas,Reflections on the Law and Literature Revival,
3336,1738,PMLA,1998,F,UC San Diego,UC Santa Barbara,Marta E. Sánchez,La Malinche at the Intersection: Race and Gender in Down These Mean Streets,
1874,1735,PMLA,2015,M,UC Santa Barbara,UC Santa Barbara,Paul Megna,"Better Living through Dread: Medieval Ascetics, Modern Philosophers, and the Long History of Existential Anxiety",
4044,1739,PMLA,1982,M,University of Hawaii,UC Santa Barbara,Brook Thomas,The House of the Seven Gables: Reading the Romance of America,
4078,3831,Critical Inquiry,1984,M,"University of Illinois, Chicago",UC Santa Barbara,Brook Thomas,The Legal Fictions of Herman Melville and Lemuel Shaw,
4097,1741,PMLA,2010,M,"University of Illinois, Chicago",UC Santa Barbara,Walter Benn Michaels,"The Politics of a Good Picture: Race, Class, and Form in Jeff Wall’s Mimic",
4098,1740,PMLA,2012,M,"University of Illinois, Chicago",UC Santa Barbara,Walter Benn Michaels,"Dude, Where’s My Job?",
4164,1742,PMLA,2011,F,University of Iowa,UC Santa Barbara,Kathy Lavezzo,The Minster and the Privy: Rereading The Prioress’s Tale,
1873,1734,PMLA,2015,F,University of Kentucky,UC Santa Barbara,Lisa Zunshine,The Secret Life of Fiction,
5371,1745,PMLA,1987,M,Vassar College,UC Santa Barbara,Donald W. Foster,"Master W. H., R. I. P.",
5373,1744,PMLA,1996,M,Vassar College,UC Santa Barbara,Donald W. Foster,"A Funeral Elegy: W[illiam] S[hakespeare]'s ""Best-Speaking Witnesses""",
5374,1743,PMLA,1997,M,Vassar College,UC Santa Barbara,Donald W. Foster,Attributing A Funeral Elegy,
1231,1746,PMLA,2005,M,Hong Kong Baptist University,UC Santa Cruz,Stuart Christie,"Disorientations: Canon without Context in Auden's ""Sonnets from China""",
1482,1747,PMLA,1989,M,Louisiana State University,UC Santa Cruz,Robert McMahon,Kenneth Burke's Divine Comedy: The Literary Form of The Rhetoric of Religion,
1497,1748,PMLA,2001,M,Loyola University,UC Santa Cruz,Paul Jay,Beyond Discipline? Globalization and the Future of English,
