id,label,author,lastname,firstname,year,year_adj,decade_birth,decade_adj,generation,gender,ethnicity,nationality,movement,movement2,poets.org,movement_note,lion.movement.1,lion.movement.2,lion.movement.3,lion.period.1,lion.period.2,lion.period.3,poets.org.1,poets.org.2,poets.org.3,poetryfoundation
334,Ray,RayDavid,Ray,David,1932,1967,,1960,1950_1980,M,,American/NorthAmerican,AmericanConfessional,,,,BlackArtsMovement,,,AmericanConfessional,Postwar,,,,,
335,Raymond,RaymondVicki,Raymond,Vicki,1949,1984,1940,1980,,F,,Australian/Oceanian,Postcolonialism,Postwar,,,,,,AmericanConfessional,Postwar,,,,,
336,Reed,ReedHenry,Reed,Henry,1914,1949,,1940,1920_1950,M,,British/English/European,Postwar,,,,,,,AmericanNaturalisticandSymbolistic,Modernist,,,,,
337,Rexroth,RexrothKenneth,Rexroth,Kenneth,1905,1940,,1940,1920_1950,M,,American/NorthAmerican,Beat,,Beat,,,,,AmericanConfessional,Postwar,,,,,
338,Reznikoff,ReznikoffCharles,Reznikoff,Charles,1894,1929,,1920,1920_1950,M,Jewish/Jewish-American,American/NorthAmerican,AmericanConformity,,,*Rexroth was deemed ���father of the Beats,�۝ but didn't consider himself a Beat,Beat,Objectivism,,AmericanConfessional,AmericanConformityandCriticism,,,,
339,Rickword,RickwordEdgell,Rickword,Edgell,1898,1933,,1930,1920_1950,M,,British/English/European,Modernism,,,,Objectivism,,,AmericanConformityandCriticism,Modernist,,,,,
340,Ridler,RidlerAnne,Ridler,Anne,1912,1947,1910,1940,,F,,British/English/European,Writersofthe1930s,Postwar,,,,,,Inter-War,Modernist,,Postwar,,,
341,Riley,RileyDenise,Riley,Denise,1948,1983,,1980,1980_2010,F,,British/English/European,Feminism,,,,,,,,,,,,,
342,Rilke,RilkeRainerMaria,Rilke,Rainer,1875,1910,,1910,1890_1920,M,,German/European,Modernism,,,,CambridgeSchool,FeministWriters,,Postwar,,,,,,
343,Riordan,RiordanMaurice,Riordan,Maurice,1953,1988,1950,1980,,M,,Irish/European,Postwar,,,,,,,Modernist,,,,,,
344,Robinson,RobinsonEdwinArlington,Robinson,Edwin,1869,1904,,1900,1890_1920,M,,American/NorthAmerican,Symbolism,,,,,,,,,,,,,
345,Robinson2,RobinsonPeter,Robinson,Peter,1953,1988,1950,1980,,M,,British/English/European,CambridgeSchool,Postwar,,,,,,AmericanNaturalisticandSymbolistic,Modernist,,,,,
346,Rodker,RodkerJohn,Rodker,John,1894,1929,,1920,1920_1950,M,,British/European,Modernism,Inter-War,,,,,,,,,,,,
347,Roethke,RoethkeTheodore,Roethke,Theodore,1908,1943,,1940,1920_1950,M,,American/NorthAmerican,AmericanConformity,,,,Modernism,,,Inter-War,Modernist,,,,,
348,Root,RootWilliamPitt,Root,William,1941,1976,,1970,1950_1980,M,,American/NorthAmerican,AmericanConfessional,,,,,,,AmericanConformityandCriticism,Postwar,,,,,
349,Rosenberg,RosenbergIsaac,Rosenberg,Isaac,1890,1925,,1920,1920_1950,M,Jewish,British/English/European,FirstWorldWarPoets,FirstWorldWar,,,,,,AmericanConfessional,Postwar,,,,,
350,Rothenberg,RothenbergJerome,Rothenberg,Jerome,1931,1966,,1960,1950_1980,M,Jewish/Jewish-American,American/NorthAmerican,DeepImage,,Ethnopoetic,,FirstWorldWarPoets,,,Modernist,,,,,,
351,Rukeyser,RukeyserMuriel,Rukeyser,Muriel,1913,1948,,1940,1920_1950,F,,American/NorthAmerican,Lesbian/Gay,,,,DeepImage,,,AmericanConfessional,Postwar,,,,,
352,Russell,RussellGeorgeWilliam,Russell,GeorgeWilliam,1867,1902,1860,1900,,M,,Irish/European,CelticRevival,,,,Lesbian/Gay,,,AmericanConfessional,AmericanConformityandCriticism,Postwar,,,,
353,Saint,SaintJohnPerse,Saint,JohnPerse,1889,1924,1880,1924,,M,,French/Guadeloupean/European/Caribbean,Inter-War,Postwar,,,,,,,,,,,,
354,Saje,SajeNatasha,Saje,Natasha,1955,1990,1950,1990,,F,,American/NorthAmerican,AmericanConfessional,,,,,,,,,,,,,
355,Salaam,SalaamKalamuYa,Salaam,KalamuYa,1947,1982,1940,1980,,M,African-American,American/NorthAmerican,AmericanConfessional,Postwar,,,,,,,,,,,,
356,Samaras,SamarasNicholas,Samaras,Nicholas,1954,1989,,1980,1980_2010,M,,American/NorthAmerican,AmericanConfessional,,,,,,,,,,,,,
357,Sanchez,SanchezSonia,Sanchez,Sonia,1935,1970,,1970,1950_1980,F,African-American,American/NorthAmerican,BlackArts,Feminism,BlackArts,,,,,AmericanConfessional,Postwar,,,,,
358,Sarton,SartonMay,Sarton,May,1912,1947,,1940,1920_1950,F,,American/NorthAmerican,Lesbian/Gay,,,,ChicagoRenaissance,,,AmericanConformityandCriticism,AmericanNaturalisticandSymbolistic,Modernist,,,,
359,Sassoon,SassoonSiegfried,Sassoon,Siegfried,1886,1921,1880,1920,,M,,British/English/European,Lesbian/Gay,FirstWorldWar,,,Lesbian/Gay,,,AmericanConfessional,AmericanConformityandCriticism,Modernist,,,,
360,Satta,SattaSebastiano,Satta,Sebastiano,1867,1902,1860,1900,,M,,Italian/European,Modernism,,,,,,,,,,,,,
361,Saxton,SaxtonRobert,Saxton,Robert,1952,1987,1950,1980,,M,,British/English/European,Postwar,,,,,,,,,,,,,
362,Schneider,SchneiderMyra,Schneider,Myra,1936,1971,,1970,1950_1980,F,,British/English/European,Postwar,,,,,,,,,,,,,
363,Schwartz,SchwartzDelmore,Schwartz,Delmore,1913,1948,,1940,1920_1950,M,Jewish/Jewish-American,American/NorthAmerican,AmericanConformity,,,,,,,Postwar,,,,,,
364,Schwartz2,SchwartzRuthL,Schwartz,RuthL,1962,1997,1960,1990,,F,Jewish/Jewish-American,American/NorthAmerican,Lesbian/Gay,,,,,,,,,,,,,
365,Schwartzman,SchwartzmanAdam,Schwartzman,Adam,1973,2008,1970,2000,,M,,African/SouthAfrican,Postwar,,,,,,,AmericanConformityandCriticism,Modernist,,,,,
366,Scovell,ScovellEJ,Scovell,EJ,1907,1942,1900,1940,,F,,British/English/European,Postwar,,,,,,,,,,,,,
367,Scupham,ScuphamPeter,Scupham,Peter,1933,1968,,1960,1950_1980,M,,British/English/European,Postwar,,,,,,,,,,,,,
368,Seeger,SeegerAlan,Seeger,Alan,1886,1921,,1920,1920_1950,M,,American/NorthAmerican,Symbolism,,,,,,,Postwar,,,,,,
369,Selman,SelmanRobyn,Selman,Robyn,1959,1994,1950,1990,,F,Jewish/Jewish-American,American/NorthAmerican,Lesbian/Gay,,,,FirstWorldWarPoets,,,AmericanNaturalisticandSymbolistic,Modernist,,,,,
370,Shapcott,ShapcottJo,Shapcott,Jo,1953,1988,,1980,1980_2010,F,,British/English/European,Postwar,,,,,,,,,,,,,
371,Shapiro,ShapiroHarvey,Shapiro,Harvey,1924,1959,1920,1950,,M,Jewish/Jewish-American,American/NorthAmerican,AmericanConfessional,,,,,,,Postwar,,,,,,
372,Shapiro2,ShapiroKarlJay,Shapiro,Karl,1913,1948,,1940,1920_1950,M,Jewish/Jewish-American,American/NorthAmerican,AmericanConformity,,,,,,,,,,,,,
373,Shelton,SheltonRichard,Shelton,Richard,1933,1968,,1960,1950_1980,M,,American/NorthAmerican,AmericanConfessional,,,,,,,AmericanConfessional,AmericanConformityandCriticism,Postwar,,,,
374,Shepherd,ShepherdReginald,Shepherd,Reginald,1963,1998,,1990,1980_2010,M,African-American,American/NorthAmerican,Lesbian/Gay,,,,,,,AmericanConfessional,Postwar,,,,,
375,Sherman,ShermanFrancis,Sherman,Francis,1871,1906,1870,1900,,M,,Canadian/NorthAmerican,CanadianConfederation,,,,Lesbian/Gay,,,AmericanConfessional,Postwar,,,,,
376,Shorter,ShorterDoraSigerson,Shorter,DoraSigerson,1866,1901,1860,1900,,F,,British/Irish/European,CelticRevival,Edwardian,,,,,,,,,,,,
377,Shumaker,ShumakerPeggy,Shumaker,Peggy,1952,1987,,1980,1980_2010,F,,American/NorthAmerican,AmericanConfessional,,,,,,,,,,,,,
378,Sibum,SibumNorm,Sibum,Norm,1946,1981,,1980,1980_2010,M,,Canadian/German/European/NorthAmerican,Postwar,,,,,,,AmericanConfessional,Postwar,,,,,
379,Simic,SimicCharles,Simic,Charles,1938,1973,,1970,1950_1980,M,,American/Yugoslavian/European/NorthAmerican,AmericanConfessional,,,*No lion mvmt except CanadianContemporaryPeriod, so I put Postwar,,,,CanadianContemporaryPeriod,,,,,
380,Simpson,SimpsonLouisAstonMarantz,Simpson,Louis,1923,1958,,1950,1950_1980,M,,American/Jamaican/WestIndian/Caribbean/NorthAmerican,DeepImage,,,,,,,AmericanConfessional,Ppstwar,,,,,
381,Sisson,SissonCHCharlesHubert,Sisson,CHCharlesHubert,1914,1949,1910,1940,,M,,British/English/European,Postwar,,,,DeepImage,,,AmericanConfessional,Postwar,,,,,
382,Slater,SlaterEleanor,Slater,Eleanor,1903,1938,,1930,1920_1950,F,,American/NorthAmerican,Symbolism,,,,,,,,,,,,,
383,Smary,SmartHarry,Smart,Harry,1956,1991,1950,1990,,M,,British/English/European,Postwar,,,,,,,AmericanNaturalisticandSymbolistic,Modernist,,,,,
384,Smith,SmithCharlie,Smith,Charlie,1947,1982,,1980,1980_2010,M,,American/NorthAmerican,AmericanConfessional,,,*This poet belongs to many Canadian groups, but is pretty much the only member of them,ConfederationPoet,McGillMovement,Modernism,CanadianContemporaryPeriod,CanadianModern,,,,
385,Smith2,SmithDave,Smith,Dave,1942,1977,1940,1970,,M,,American/NorthAmerican,AmericanConfessional,,,,,,,AmericanConfessional,Postwar,,,,,
386,Smith3,SmithPatricia,Smith,Patricia,1955,1990,1950,1990,,F,African-American,American/NorthAmerican,AmericanConfessional,,,,,,,,,,,,,
387,Smith4,SmithStevie,Smith,Stevie,1902,1937,1900,1930,,F,,British/English/European,Writersofthe1930s,Inter-War,,,,,,,,,,,,
388,Snyder,SnyderGary,Snyder,Gary,1930,1965,,1960,1950_1980,M,,American/NorthAmerican,Beat,,Beat,,,,,,,,,,,
389,Solomon,SolomonSandy,Solomon,Sandy,1948,1983,,1980,1980_2010,F,,American/NorthAmerican,AmericanConfessional,,, Ethnopoetic, Surrealism,,Beat,,,AmericanConfessional,,,,
390,Song,SongCathy,Song,Cathy,1955,1990,,1990,1980_2010,F,Asian-American,American/NorthAmerican,AmericanConfessional,,,,,,,AmericanConfessional,Postwar,,,,,
391,Sorley,SorleyCharlesHamilton,Sorley,Charles,1895,1930,,1930,1920_1950,M,,British/English/European,FirstWorldWarPoets,,,,,,,AmericanConfessional,Postwar,,Postwar,,,
392,Spender,SpenderStephen,Spender,Stephen,1909,1944,1900,1940,,M,,British/English/European,Lesbian/Gay,Writersofthe1930s,,,,,,,,,,,,
393,Stafford,StaffordWilliam,Stafford,William,1914,1949,,1940,1920_1950,M,,American/NorthAmerican,AmericanConfessional,,,,,,,AmericanConfessional,Postwar,,,,,
394,Stephens,StephensJames,Stephens,James,1882,1917,,1910,1890_1920,M,,Irish/European,Modernism,,,,,,,AmericanConfessional,Postwar,,,,,
395,Stern,SternGerald,Stern,Gerald,1925,1960,,1960,1950_1980,M,Jewish/Jewish-American,American/NorthAmerican,AmericanConfessional,,,*Very into Irish language and folk tales, worked closely with Joyce,CelticRevival,,,EdwardianPeriod,Inter-War,,,,
396,Stevens,StevensWallace,Stevens,Wallace,1879,1914,,1910,1890_1920,M,,American/NorthAmerican,Symbolism,AmericanConformity,,,,,,AmericanConfessional,Postwar,,,,,
397,Stickney,StickneyTrumbull,Stickney,Trumbull,1874,1909,1870,1900,,M,,American/NorthAmerican,AmericanNaturalisticSymbolistic,Modernism,,,Modernism,,,AmericanConformityandCriticism,AmericanNaturalisticandSymbolistic,Modernist,Modernist,,,
398,Stimson,StimsonNick,Stimson,Nick,1952,1987,1950,1980,,M,,British/English/European,Postwar,,,,,,,,,,,,,
399,StJohn,StJohnPrimus,StJohn,Primus,1939,1974,1930,1970,,M,African-American,American/NorthAmerican,AmericanConfessional,Postwar,,,,,,,,,,,,
400,Stringer,StringerArthur,Stringer,Arthur,1874,1909,1870,1900,,M,,Canadian/NorthAmerican,CanadianConfederation,CanadianModern,,,,,,,,,,,,
401,Sward,SwardRobert,Sward,Robert,1933,1968,,1960,1950_1980,M,Jewish/Jewish-American,American/NorthAmerican,AmericanConfessional,,,,,,,,,,,,,
402,Sylvester,SylvesterJanet,Sylvester,Janet,1950,1985,,1980,1980_2010,F,,American/NorthAmerican,AmericanConfessional,,,,,,,AmericanConfessional,Postwar,,,,,
403,Synge,SyngeJMJohnMillington,Synge,JMJohnMillington,1871,1906,1870,1900,,M,,Irish/European,CelticRevival,Naturalism,,,,,,AmericanConfessional,Postwar,,,,,
404,Szirtes,SzirtesGeorge,Szirtes,George,1948,1983,,1980,1980_2010,M,,British/Hungarian/European,Postwar,,,,,,,,,,,,,
405,Taggard,TaggardGenevieve,Taggard,Genevieve,1894,1929,,1920,1920_1950,F,,American/NorthAmerican,Symbolism,AmericanConformity,,,,,,Postwar,,,,,,
406,Tapscott,TapscottStephen,Tapscott,Stephen,1948,1983,1940,1980,,M,,American/NorthAmerican,AmericanConfessional,Postwar,,,,,,AmericanConformityandCriticism,AmericanNaturalisticandSymbolistic,Modernist,,,,
407,Tate,TateJames,Tate,James,1943,1978,,1970,1950_1980,M,,American/NorthAmerican,AmericanConfessional,,,,,,,,,,,,,
408,Teasdale,TeasdaleSara,Teasdale,Sara,1884,1919,,1910,1890_1920,F,,American/NorthAmerican,Symbolism,AmericanConformity,,,,,,AmericanConfessional,Postwar,,,,,
409,Tessimond,TessimondASJArthurSeymourJohn,Tessimond,ASJ,1902,1937,,1930,1920_1950,M,,British/English/European,Modernism,,,,,,,AmericanConformityandCriticism,AmericanNaturalisticandSymbolistic,Modernist,,,,
410,Thomas,ThomasEdward,Thomas,Edward,1878,1913,1870,1910,,M,,British/English/European,FirstWorldWarPoets,,,,,,,Inter-War,Modernist,Postwar,,,,
411,Thomas2,ThomasLorenzo,Thomas,Lorenzo,1944,1979,1940,1970,,M,African-American,American/Panamanian/NorthAmerican/LatinAmerican,BlackArts,AmericanConfessional,,,,,,,,,,,,
412,Thomas3,ThomasRSRonaldStuart,Thomas,RS,1913,1948,,1940,1920_1950,M,,British/Welsh/European,Postwar,,,,,,,,,,,,,
413,Thompson,ThompsonAaronBelford,Thompson,Aaron,1883,1918,,1910,1890_1920,M,African-American,American/NorthAmerican,Symbolism,,,,,,,Postwar,,,,,,
414,Toomer,ToomerJean,Toomer,Jean,1894,1929,,1920,1920_1950,M,African-American,American/NorthAmerican,HarlemRenaissance,Symbolism,HarlemRenaissance,,,,,AmericanNaturalisticandSymbolistic,Modernist,,,,,
415,Tsvetaeva,TsvetaevaMarina,Tsvetaeva,Marina,1892,1927,,1920,1920_1950,F,,Russian/European,Modernism,,,,HarlemRenaissance,Modernism,,AmericanNaturalisticandSymbolistic,Modernist,,,,,
416,Turner,TurnerMartin,Turner,Martin,1948,1983,1940,1980,,M,,British/European,Postwar,,,,,,,Modernist,,,,,,
417,Valery,ValeryPaul,Valery,Paul,1871,1906,1870,1900,,M,,French/European,Symbolism,Modernism,,,,,,,,,,,,
418,Van Walleghen,VanWalleghenMichael,Van Walleghen,Michael,1938,1973,,1970,1950_1980,M,,American/NorthAmerican,AmericanConfessional,,,,,,,,,,,,,
419,Vinal,VinalHarold,Vinal,Harold,1891,1926,,1920,1920_1950,M,,American/NorthAmerican,Modernism,,,,,,,AmericanConfessional,Postwar,,,,,
420,Voigt,VoigtEllenBryant,Voigt,Ellen,1943,1978,,1970,1950_1980,F,,American/NorthAmerican,AmericanConfessional,,,,,,,AmericanConformityandCriticism,Modernist,,,,,
421,Waldman,WaldmanAnne,Waldman,Anne,1945,1980,,1980,1980_2010,F,,American/NorthAmerican,Beat,,Beat,,,,,AmericanConfessional,Postwar,,,,,
422,Walker,WalkerMargaret,Walker,Margaret,1915,1950,,1950,1950_1980,F,African-American,American/NorthAmerican,BlackArts,Feminism,,,,,,AmericanConfessional,Postwar,,,,,
423,Wang,WangPing,Wang,Ping,1957,1992,,1990,1980_2010,F,Asian-American,American/NorthAmerican,AmericanConfessional,,,,BlackArtsMovement,ChicagoRenaissance,FeministWriters,AmericanConfessional,AmericanConformityandCriticism,Modernist,,,,
424,Waring,WaringBelle,Waring,Belle,1951,1986,,1980,1980_2010,F,,American/NorthAmerican,AmericanConfessional,,,,,,,AmericanConfessional,Postwar,,,,,
425,Waterman,WatermanAndrew,Waterman,Andrew,1940,1975,1940,1970,,M,,British/English/European,Postwar,,,,,,,AmericanConfessional,Postwar,,,,,
426,Watkins,WatkinsVernonPhillips,Watkins,Vernon,1906,1941,,1940,1920_1950,M,,British/Welsh/European,Postwar,,,,,,,,,,,,,
427,Weaver,WeaverAfaaMAfaaMichael,Weaver,Michael,1951,1986,,1980,1980_2010,M,African-American,American/NorthAmerican,AmericanConfessional,,,,,,,Postwar,,,,,,
428,Weismiller,WeismillerEdwardRonald,Weismiller,Edward,1915,1950,,1950,1950_1980,M,,American/NorthAmerican,Modernism,,,,,,,AmericanConfessional,Postwar,,,,,
429,Wells,WellsRobert,Wells,Robert,1947,1982,,1980,1980_2010,M,,British/English/European,Postwar,,,,,,,AmericanConfessional,AmericanConformityandCriticism,Modernist,,,,
430,Wheelwright,WheelwrightJohn,Wheelwright,John,1897,1932,,1930,1920_1950,M,,American/NorthAmerican,Modernism,,,,,,,Postwar,,,,,,
431,White,WhiteViolaChittenden,White,ViolaChittenden,1890,1925,,1920,1920_1950,F,,American,Symbolism,,,,,,,AmericanConformityandCriticism,Modernist,,,,,
432,Wieners,WienersJohn,Wieners,John,1934,1969,,1960,1950_1980,M,,American/NorthAmerican,Beat,,,,,,,AmericanConformityandCriticism,AmericanNaturalisticandSymbolistic,Modernist,,,,
433,Wilder,WilderAmosNiven,Wilder,Amos,1895,1930,,1930,1920_1950,M,,American/NorthAmerican,Symbolism,Symbolism,,,Beat,BlackMountainSchool,Lesbian/Gay,AmericanConfessional,Postwar,,,,,
434,Wilkins,WilkinsPaul,Wilkins,Paul,1951,1986,1950,1980,,M,,English/European,Lesbian/Gay,,,,,,,AmericanNaturalisticandSymbolistic,Modernist,,,,,
435,Williams,WilliamsHugo,Williams,Hugo,1942,1977,,1970,1950_1980,M,,British/English/European,Postwar,,,,,,,,,,,,,
436,Williams2,WilliamsOscar,Williams,Oscar,1900,1935,,1930,1920_1950,M,,American,Symbolism,AmericanConformity,,,,,,AmericanConfessional,Postwar,,,,,
437,Williams3,WilliamsSherleyAnne,Williams,SherleyAnne,1944,1979,1940,1970,,F,African-American,American/NorthAmerican,AmericanConfessional,Postwar,,,,,,AmericanConformityandCriticism,AmericanNaturalisticandSymbolistic,Modernist,,,,
438,Williams4,WilliamsWaldo,Williams,Waldo,1904,1939,,1930,1920_1950,M,,British/Welsh/European,Modernism,,,,,,,,,,,,,
439,Williams5,WilliamsWilliamCarlos,Williams,WilliamCarlos,1883,1918,,1910,1890_1920,M,,American,Modernism,Imagism,Imagism,,,,,Inter-War,Modernist,Postwar,,,,
440,Wilmer,WilmerClive,Wilmer,Clive,1945,1980,1940,1980,,M,,British/English/European,Postwar,,, Met,,Imagism,Modernism,Objectivism,AmericanConformityandCriticism,AmericanNaturalisticandSymbolistic,,,,
441,Witheford,WithefordHubert,Witheford,Hubert,1921,1956,1920,1950,,M,,NewZealander/Oceanian,Postwar,,,,,,,,,,,,,
442,Wohlfeld,WohlfeldValerie,Wohlfeld,Valerie,1956,1991,,1990,1980_2010,F,,American/NorthAmerican,AmericanConfessional,,,,,,,,,,Modernist,,,
443,Wojahn,WojahnDavid,Wojahn,David,1953,1988,,1980,1980_2010,M,,American/NorthAmerican,AmericanConfessional,,,,,,,AmericanConfessional,Postwar,,,,,
444,Woods,WoodsGregory,Woods,Gregory,1953,1988,,1980,1980_2010,M,,British/European,Lesbian/Gay,,,,,,,AmericanConfessional,Postwar,,,,,
445,Woods2,WoodsJamesChapman,Woods,JamesChapman,1870,1905,1870,1900,,M,,British/European,Inter-War,Modernism,,,Lesbian/Gay,,,Postwar,,,,,,
446,Wright,WrightCharles,Wright,Charles,1935,1970,,1970,1950_1980,M,,American,Postwar,,,,,,,,,,,,,
447,Wright2,WrightDavidMcKee,Wright,DavidMcKee,1867,1902,1860,1900,,M,,Irish/NewZealander/Oceanian/European,LateVictorian,,,,,,,AmericanConfessional,Postwar,,,,,
448,Wright3,WrightJamesArlington,Wright,James,1927,1962,,1960,1950_1980,M,,American/NorthAmerican,DeepImage,,,,,,,,,,,,,
449,Wylie,WylieElinor,Wylie,Elinor,1885,1920,,1920,1920_1950,F,,American/NorthAmerican,Symbolism,,,,DeepImage,,,AmericanConfessional,Postwar,,,,,
450,Yau,YauJohn,Yau,John,1950,1985,,1980,1980_2010,M,,American/NorthAmerican,AmericanConfessional,,,,,,,AmericanNaturalisticandSymbolistic,Modernist,,,,,
451,Yeats,YeatsWilliam,Yeats,William,1865,1900,,1900,1890_1920,M,Anglo-Irish,British/Irish/European,Modernism,,,,,,,AmericanConfessional,Postwar,,,,,
452,Yevtushenko,YevtushenkoYevgenyAleksandrovich,Yevtushenko,YevgenyAleksandrovich,1933,1968,1930,1960,,M,,Russian/European,Postwar,,,,AestheticMovement,CelticRevival,Modernism,Edwardian,Inter-War,Modernist,,,,
453,Young,YoungAl,Young,Al,1885,1920,,1920,1920_1950,M,African-American,American/NorthAmerican,AmericanConfessional,,,,,,,,,,,,,
454,Young2,YoungAndrew,Young,Andrew,1939,1974,,1970,1950_1980,M,,British/Scottish/European,Modernism,,,,,,,AmericanConfessional,Postwar,,,,,
,,,,,,,,,,,,,,,,,,,,Inter-War,Modernist,Postwar,,,,
